;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Descripcion;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
2171;Piso en Urbanizacion las Gondolas IV, 1, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;190000;2;56.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2172;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;294000;2;65.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2173;Chalet adosado en calle Luis Fuentes Bejarano, 39, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;355000;3;178.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2174;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;247000;2;91.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Bajo exterior sin ascensor;Compra;Bajo;Exterior;No;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2175;Chalet adosado en calle Nirvana, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;350000;4;250.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2176;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;600000;10;1.271;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Bajo exterior sin ascensor;Compra;Bajo;Exterior;No;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2177;Piso en calle Tigris, s/n, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;215000;3;115.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2178;Piso en avenida Alcalde Luis Uruñuela, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;135000;1;55.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2179;Piso en calle Tigris, 4, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;220000;4;120.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 7ª exterior con ascensor;Compra;7ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2180;Piso en calle Cueva de la Pileta, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;235000;3;106.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 8ª exterior con ascensor;Compra;8ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2181;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;128500;1;54.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 2ª exterior sin ascensor;Compra;2ª;Exterior;No;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2182;Piso en calle Casuarina, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;128500;1;56.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2183;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;295000;3;148.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2184;Piso en calle Nuevas Profesiones, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;112000;2;77.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 2ª exterior sin ascensor;Compra;2ª;Exterior;No;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2185;Chalet adosado en calle Luis Fuentes Bejarano, 50, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;385000;3;180.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2186;Piso en calle Tigris, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;216000;3;115.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2187;Piso en calle Tigris, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;223900;3;120.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2188;Estudio en glorieta Palacio de Congresos, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;90000;2;35.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2189;Chalet adosado en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;432000;4;370.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2190;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;353000;4;180.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 5ª exterior con ascensor;Compra;5ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2191;Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;280000;3;165.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 1ª exterior sin ascensor;Compra;1ª;Exterior;No;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2192;Chalet adosado en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;275000;5;114.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2193;Piso en avenida de Andalucía, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;247000;2;90.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2194;Chalet pareado en calle Séptimo Día, 19, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;316000;5;220.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2195;Piso en calle Cueva de la Pileta, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;200000;4;106.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 7ª con ascensor;Compra;Planta 7ª;Indeterminado;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2196;Piso en avenida Alcalde Luis Uruñuela, 8, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;400000;3;140.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2197;Piso en calle Cueva de la Pileta, 2, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;219000;3;111.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2198;Piso en calle Cueva de la Pileta, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;270000;4;110.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;No;Planta 7ª exterior con ascensor;Compra;7ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2199;Piso en calle Secoya, 1, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;180000;1;40.0;Sevilla;Sevilla Este;Alcalde L Urunuela Palacio De Congresos;Garaje incluido;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2200;Ático en Emilio Lemos, Sevilla;295000;3;118.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 3ª interior;Compra;Planta 3ª;Interior;Indeterminado;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2201;Piso en Emilio Lemos, Sevilla;220000;2;84.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2202;Piso en Emilio Lemos, Sevilla;169886;3;94.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2203;Piso en Emilio Lemos, Sevilla;207260;2;75.0;Sevilla;Sevilla Este;Emilio Lemos;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2204;Piso en calle Profesor Manuel Olivencia Ruiz, Emilio Lemos, Sevilla;165000;3;89.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 6ª exterior con ascensor;Compra;6ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2205;Piso en calle Bangladesh, 13, Emilio Lemos, Sevilla;191100;2;85.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2206;Piso en calle Bangladesh, 13, Emilio Lemos, Sevilla;194600;2;86.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2207;Piso en calle Bangladesh, 13, Emilio Lemos, Sevilla;193100;2;91.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2208;Piso en avenida de Emilio Lemos, Emilio Lemos, Sevilla;193000;3;117.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2209;Piso en Emilio Lemos, Sevilla;170000;3;123.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2210;Piso en Emilio Lemos, Sevilla;185000;3;120.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 4ª exterior con ascensor;Compra;4ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2211;Piso en calle Profesor Manuel Olivencia Ruiz, Emilio Lemos, Sevilla;180000;3;128.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2212;Piso en Emilio Lemos, Sevilla;180000;3;90.0;Sevilla;Sevilla Este;Emilio Lemos;Garaje incluido;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
2213;Piso en calle Manila, Emilio Lemos, Sevilla;195000;4;113.0;Sevilla;Sevilla Este;Emilio Lemos;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;71.162;73.909;54.457;47.003;20.057;704.198;141.0;327.393;242.0;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.62;2.447;266.588;115.0;2.918;7.3;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.26;60.805;127.0;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
