;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Descripcion;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
868;Piso en Valencia, La Sagrada Família, Barcelona;875000;3;135.0;Barcelona;Eixample;La Sagrada Familia;No;Bajo exterior sin ascensor;Compra;Bajo;Exterior;No;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
869;Chalet en calle de València, La Sagrada Família, Barcelona;875000;3;175.0;Barcelona;Eixample;La Sagrada Familia;No;No tiene;Compra;Indeterminado;Indeterminado;Indeterminado;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
870;Piso en calle d'Aragó, La Sagrada Família, Barcelona;365000;1;64.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
871;Piso en calle d'Aragó, La Sagrada Família, Barcelona;465000;2;81.0;Barcelona;Eixample;La Sagrada Familia;No;Entreplanta exterior con ascensor;Compra;Entreplanta;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
872;Ático en calle de Padilla, La Sagrada Família, Barcelona;425000;3;61.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 8ª exterior con ascensor;Compra;8ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
873;Piso en calle de Còrsega, La Sagrada Família, Barcelona;415000;4;106.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 3ª exterior con ascensor;Compra;3ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
874;Piso en avenida de Gaudí, La Sagrada Família, Barcelona;469000;3;73.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 3ª exterior sin ascensor;Compra;3ª;Exterior;No;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
875;Piso en calle de València, La Sagrada Família, Barcelona;435000;2;65.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
876;Piso en calle d'Aragó, La Sagrada Família, Barcelona;430000;2;139.0;Barcelona;Eixample;La Sagrada Familia;No;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
877;Ático en avenida de Gaudí, La Sagrada Família, Barcelona;469000;3;70.0;Barcelona;Eixample;La Sagrada Familia;No;Planta 3ª exterior sin ascensor;Compra;3ª;Exterior;No;207.973;205.174;126.877;89.495;41.658;1.619.337;98.0;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.88;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.28;33.392;34.269;32.74;8.173;2.598;137.574;10.216;19.858;20.194;4.92;11.879;23.726;17.6;3.587;4.202;6.973;2.834;11.585
