;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;index;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
1792;Piso en calle del Bomber Ramon Duart, Ciutat de les Arts i de les Ciencies, València;690000;3;134.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje opc. 35.000 €;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1793;Piso en Lopez Piñero, Ciutat de les Arts i de les Ciencies, València;650000;3;127.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;13ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1794;Ático en avenida del Professor López Piñero, Ciutat de les Arts i de les Ciencies, València;650000;3;127.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;13ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1795;Ático en Ciutat de les Arts i de les Ciencies, València;1410000;4;299.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;19ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1796;Dúplex en calle Poeta Jose Cervera Grifoll, Ciutat de les Arts i de les Ciencies, València;480000;3;98.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje opc. 30.000 €;Compra;13ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1797;Piso en avenida del Professor López Piñero, Ciutat de les Arts i de les Ciencies, València;510000;2;76.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;15ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1798;Piso en calle d'Antonio Ferrandis, Ciutat de les Arts i de les Ciencies, València;460000;2;100.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje opc. 30.000 €;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1799;Ático en Ciutat de les Arts i de les Ciencies, València;695000;4;200.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;9ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1800;Piso en Ciutat de les Arts i de les Ciencies, València;890000;3;172.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;13ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1801;Piso en plaza del Mestre Vicent Ballester Fandós, Ciutat de les Arts i de les Ciencies, València;395000;4;135.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;4ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1802;Piso en calle d'Antonio Ferrandis, Ciutat de les Arts i de les Ciencies, València;450000;3;110.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1803;Dúplex en avenida de l'Alcalde Gisbert Rico, 31, Ciutat de les Arts i de les Ciencies, València;478000;3;144.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;4ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1804;Piso en avenida del Professor López Piñero, 6, Ciutat de les Arts i de les Ciencies, València;510000;2;91.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;15ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1805;Estudio en avenida de l'Institut Obrer de València, 18, Ciutat de les Arts i de les Ciencies, València;195000;2;46.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1806;Piso en calle del Poeta Josep Cervera i Grífol, Ciutat de les Arts i de les Ciencies, València;370000;3;154.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;5ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1807;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;195000;1;46.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Planta 2ª;Indeterminado;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1808;Piso en calle d'Ángel Villena, s/n, Ciutat de les Arts i de les Ciencies, València;1040000;3;157.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;15ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1809;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;510000;5;249.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Bajo;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1810;Piso en Ciutat de les Arts i de les Ciencies, València;220000;3;98.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Bajo;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1811;Piso en avenida de l'Alcalde Gisbert Rico, Ciutat de les Arts i de les Ciencies, València;441000;3;105.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;4ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1812;Piso en calle d'Antonio Ferrandis, Ciutat de les Arts i de les Ciencies, València;430000;2;76.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;10ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1813;Dúplex en calle de l'Escriptor Rafael Ferreres, s/n, Ciutat de les Arts i de les Ciencies, València;499000;3;140.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;5ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1814;Ático en calle Angel Villena, 32, Ciutat de les Arts i de les Ciencies, València;698000;3;168.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;14ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1815;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;145000;1;46.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1816;Piso en calle d'Ángel Villena, 36, Ciutat de les Arts i de les Ciencies, València;600000;3;134.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;3ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1817;Piso en avenida del Professor López Piñero, 10, Ciutat de les Arts i de les Ciencies, València;699900;3;120.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;3ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1818;Dúplex en avenida de l'Institut Obrer de València, 11, Ciutat de les Arts i de les Ciencies, València;369000;2;107.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje opc. 20.000 €;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1819;Piso en avenida d'Amado Granell Mesado, 65, Ciutat de les Arts i de les Ciencies, València;530000;4;143.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;6ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1820;Piso en avenida d'Amado Granell Mesado, Ciutat de les Arts i de les Ciencies, València;439000;3;101.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;5ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1821;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;260000;1;71.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;6ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1822;Piso en calle ep. entraba faba, s/n, Ciutat de les Arts i de les Ciencies, València;620000;3;133.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1823;Piso en Ciutat de les Arts i de les Ciencies, València;510000;2;90.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;15ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1824;Piso en calle del Marqués de Lozoya, Ciutat de les Arts i de les Ciencies, València;230000;2;98.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Bajo;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1825;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;195000;1;41.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1826;Piso en calle Antonio Sacramento Escultor, Ciutat de les Arts i de les Ciencies, València;470000;3;137.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1827;Piso en avenida del Professor López Piñero, 8, Ciutat de les Arts i de les Ciencies, València;510000;2;90.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;15ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1828;Piso en Ciutat de les Arts i de les Ciencies, València;375000;2;70.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1829;Piso en Ciutat de les Arts i de les Ciencies, València;425000;3;120.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje opc. 27.000 €;Compra;6ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1830;Piso en avenida de l'Institut Obrer de València, Ciutat de les Arts i de les Ciencies, València;195000;1;41.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;1ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1831;Piso en Ciutat de les Arts i de les Ciencies, València;195000;1;46.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Planta 2ª;Indeterminado;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1832;Piso en calle d'Ángel Villena, Ciutat de les Arts i de les Ciencies, València;67400;3;95.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Planta 2ª;Indeterminado;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1833;Piso en Ciutat de les Arts i de les Ciencies, València;195000;1;46.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Planta 2ª;Indeterminado;No;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1834;Piso en Ciutat de les Arts i de les Ciencies, València;599000;3;130.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;3ª;Interior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1835;Piso en Ciutat de les Arts i de les Ciencies, València;600000;3;163.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;Garaje incluido;Compra;3ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1836;Estudio en Ciutat de les Arts i de les Ciencies, València;289000;5;120.0;Valencia;Quatre Carreres;Ciutat De Les Arts I De Les Ciencies;No;Compra;Planta 2ª;Indeterminado;No;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1837;Piso en calle de Les Barraques del Figuero, 1, La Punta, València;399000;1;106.0;Valencia;Quatre Carreres;La Punta;Garaje incluido;Compra;16ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1838;Piso en calle de Suīssa, La Punta, València;398000;1;124.0;Valencia;Quatre Carreres;La Punta;Garaje incluido;Compra;11ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1839;Piso en La Punta, València;468000;3;90.0;Valencia;Quatre Carreres;La Punta;Garaje incluido;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1840;Piso en calle de Suīssa, La Punta, València;350000;3;107.0;Valencia;Quatre Carreres;La Punta;Garaje incluido;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1841;Piso en calle de les Moreres, La Punta, València;333000;3;110.0;Valencia;Quatre Carreres;La Punta;Garaje incluido;Compra;8ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
1842;Piso en calle de les Moreres, La Punta, València;250000;4;140.0;Valencia;Quatre Carreres;La Punta;No;Compra;2ª;Exterior;Si;96.493;93.169;64.611;48.242;20.656;809.267;135.0;5.342;12.0;23.584;11.66;5.024;2.237;132.43200000000002;140.102;82.607;60581;377161;453882;6769.0;141;55.865;242.186;25.12;323.171;74.94051137014151;17.28651395081861;4.335200930815359;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
