Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion
Ático en Dátil, 21, Puerta Bonita, Madrid;247563;1 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior con ascensor
Piso en calle de Tarifa, Puerta Bonita, Madrid;199000;3 hab.;74 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª exterior sin ascensor
Piso en calle Manuel Lamela, Puerta Bonita, Madrid;148000;1 hab.;30 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Piso en calle San Wenceslao, Puerta Bonita, Madrid;199900;4 hab.;80 m²;madrid;carabanchel;puerta-bonita;No;Planta 5ª exterior sin ascensor
Piso en calle de Belzunegui, Puerta Bonita, Madrid;145000;3 hab.;65 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior sin ascensor
Piso en calle Chiclana, Puerta Bonita, Madrid;188000;3 hab.;64 m²;madrid;carabanchel;puerta-bonita;No;Bajo exterior sin ascensor
Dúplex en Puerta Bonita, Madrid;419000;3 hab.;127 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Witerico, 5, Puerta Bonita, Madrid;275000;3 hab.;102 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle de Eugenia de Montijo, Puerta Bonita, Madrid;355000;3 hab.;102 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 5ª exterior con ascensor
Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;409000;3 hab.;171 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Bajo exterior con ascensor
Piso en calle Juan Francisco, Puerta Bonita, Madrid;205000;2 hab.;88 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en calle Thader, Puerta Bonita, Madrid;180000;3 hab.;91 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en calle Juan Francisco, Puerta Bonita, Madrid;205000;2 hab.;88 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior sin ascensor
Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;409000;3 hab.;171 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Bajo exterior con ascensor
Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;349000;2 hab.;149 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 2ª exterior con ascensor
Piso en calle Blasón, Puerta Bonita, Madrid;400000;3 hab.;117 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Planta 1ª exterior con ascensor
Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;409000;3 hab.;171 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Bajo exterior con ascensor
Piso en calle de Monseñor Oscar Romero, Puerta Bonita, Madrid;409000;3 hab.;171 m²;madrid;carabanchel;puerta-bonita;Garaje incluido;Bajo exterior con ascensor
Piso en calle Francisco Guzmán, Puerta Bonita, Madrid;200000;1 hab.;55 m²;madrid;carabanchel;puerta-bonita;Garaje opc. 20.000 €;Bajo exterior con ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;158000;3 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Semi-sótano exterior sin ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;158000;3 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Semi-sótano exterior sin ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;158000;3 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Semi-sótano exterior sin ascensor
Piso en calle de Alejandro Morán, Puerta Bonita, Madrid;158000;3 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Semi-sótano exterior sin ascensor
Piso en calle Francisco Guzmán, 10, Puerta Bonita, Madrid;128300;2 hab.;52 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior sin ascensor
Piso en calle Ademuz, 2, Puerta Bonita, Madrid;100280;2 hab.;65 m²;madrid;carabanchel;puerta-bonita;No;Planta 4ª exterior sin ascensor
Piso en paseo Castellanos, Puerta Bonita, Madrid;255000;4 hab.;121 m²;madrid;carabanchel;puerta-bonita;No;Planta 2ª exterior con ascensor
Piso en calle de Eugenia de Montijo, Puerta Bonita, Madrid;250000;3 hab.;98 m²;madrid;carabanchel;puerta-bonita;No;Planta 4ª exterior con ascensor
