;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
32;Piso en calle de Carlos Dabán, 20, San Isidro, Madrid;288300;1;53.0;Madrid;Carabanchel;San Isidro;No;Compra;Planta 2ª;Indeterminado;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
33;Piso en San Isidro, Madrid;268800;2;74.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
34;Chalet adosado en calle José del Río, San Isidro, Madrid;490000;4;130.0;Madrid;Carabanchel;San Isidro;No;Compra;Indeterminado;Indeterminado;Indeterminado;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
35;Piso en calle Vicenta Pachón, San Isidro, Madrid;199000;1;84.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
36;Piso en calle José Garrido, San Isidro, Madrid;192000;1;54.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Interior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
37;Piso en calle Juana Fuentes, 2, San Isidro, Madrid;210000;1;72.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
38;Piso en San Isidro, Madrid;290000;3;91.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
39;Piso en calle Almendralejo, 4, San Isidro, Madrid;228000;4;70.0;Madrid;Carabanchel;San Isidro;No;Compra;3ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
40;Piso en calle de Arroyo de Valdecelada, San Isidro, Madrid;179500;1;56.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
41;Piso en calle Algaba, San Isidro, Madrid;250000;3;55.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
