id,municipio,2020M08,2021M02,2021M08,2022M02,2022M08,2023M02,2023M08,2024M02
30001,Abanilla,18,18,16,18,17,23,19,22
30002,Abarán,1,3,5,4,7,7,7,4
30003,Águilas,316,296,329,312,367,371,395,457
30004,Albudeite,0,0,0,0,0,0,0,0
30005,Alcantarilla,11,9,8,8,7,13,8,14
30006,Aledo,3,2,8,9,5,6,7,6
30007,Alguazas,4,4,3,3,4,3,3,2
30008,Alhama de Murcia,200,176,151,142,156,152,181,175
30009,Archena,17,17,17,17,12,13,14,15
30010,Beniel,1,1,0,0,0,0,0,0
30011,Blanca,17,20,22,18,15,22,22,21
30012,Bullas,15,14,18,18,19,26,18,25
30013,Calasparra,5,3,2,6,6,5,10,12
30014,Campos del Río,2,2,3,3,3,3,2,1
30015,Caravaca de la Cruz,46,40,40,52,56,67,59,88
30016,Cartagena,1462,1392,1345,1308,1493,1477,1686,1660
30017,Cehegín,50,43,47,52,49,55,53,57
30018,Ceutí,2,2,1,1,0,2,2,2
30019,Cieza,3,2,3,5,6,5,14,17
30020,Fortuna,23,19,22,24,27,25,34,39
30021,Fuente Álamo de Murcia,85,83,81,76,77,71,106,105
30022,Jumilla,28,24,14,12,13,11,15,13
30023,Librilla,7,7,7,5,6,6,8,10
30024,Lorca,66,65,61,65,60,65,68,89
30025,Lorquí,5,4,4,2,2,3,2,4
30026,Mazarrón,470,448,495,451,484,513,589,580
30027,Molina de Segura,43,40,43,39,33,35,29,41
30028,Moratalla,43,43,45,47,53,59,60,66
30029,Mula,20,19,17,19,17,16,16,19
30030,Murcia,840,786,797,747,796,830,742,984
30031,Ojós,3,3,3,3,3,2,3,4
30032,Pliego,3,3,4,7,6,7,8,9
30033,Puerto Lumbreras,15,14,13,15,13,12,13,15
30034,Ricote,6,6,5,5,5,5,7,7
30035,San Javier,984,859,944,869,972,981,1214,1111
30036,San Pedro del Pinatar,308,295,272,266,297,326,392,401
30037,Torre-Pacheco,573,530,487,498,565,582,615,670
30038,"Torres de Cotillas, Las",5,6,5,6,8,12,5,7
30039,Totana,12,11,11,7,7,9,10,9
30040,Ulea,2,3,0,0,0,1,0,2
30041,"Unión, La",28,25,22,29,30,25,23,25
30042,Villanueva del Río Segura,6,7,8,6,14,12,13,13
30043,Yecla,18,21,20,19,20,23,30,35
30901,Santomera,5,6,4,4,4,5,4,4
30902,"Alcázares, Los",375,351,339,357,399,402,446,469
31,Navarra,1071,993,993,936,1225,1236,1340,1583
31001,Abáigar,0,0,0,0,0,0,0,0
31002,Abárzuza/Abartzuza,2,2,1,1,1,1,1,1
31003,Abaurregaina/Abaurrea Alta,2,0,1,0,1,0,1,0
31004,Abaurrepea/Abaurrea Baja,0,0,0,0,0,0,0,0
31005,Aberin,1,1,1,1,1,1,1,2
31006,Ablitas,1,1,1,1,2,2,1,1
31007,Adiós,0,0,0,0,0,0,0,0
31008,Aguilar de Codés,1,1,0,0,0,0,0,0
31009,Aibar/Oibar,1,1,1,0,0,0,0,0
31010,Altsasu/Alsasua,16,13,15,14,16,10,18,13
31011,Allín/Allin,6,6,6,7,7,8,8,9
31012,Allo,0,0,0,1,1,1,1,1
31013,Améscoa Baja,3,3,3,3,3,3,2,1
31014,Ancín/Antzin,0,0,0,0,0,0,0,0
31015,Andosilla,0,1,1,1,0,0,0,0
31016,Ansoáin/Antsoain,7,6,7,5,3,5,6,6
31017,Anue,0,0,0,0,0,0,0,1
31018,Añorbe,0,0,0,0,0,0,0,0
31019,Aoiz/Agoitz,5,4,4,6,2,1,4,4
31020,Araitz,2,2,1,1,1,1,2,2
31021,Aranarache/Aranaratxe,0,1,1,1,1,1,1,1
31022,Arantza,2,2,0,0,0,0,0,0
31023,Aranguren,10,8,8,5,8,7,5,5
31024,Arano,0,0,0,0,0,1,1,1
31025,Arakil,5,4,0,3,0,0,0,0
31026,Aras,0,0,0,0,0,0,0,0
31027,Arbizu,3,3,3,3,3,3,4,4
31028,Arce/Artzi,4,4,4,2,2,4,4,5
31029,"Arcos, Los",7,7,7,5,8,5,4,8
31030,Arellano,0,0,0,0,0,0,0,0
31031,Areso,2,2,2,2,2,1,2,2
31032,Arguedas,20,17,17,15,25,26,29,36
31033,Aria,0,0,0,0,0,0,0,0
31034,Aribe,0,0,0,0,0,1,1,1
31035,Armañanzas,0,0,0,0,0,0,0,0
31036,Arróniz,0,0,0,0,1,1,1,4
31037,Arruazu,0,0,0,0,0,0,0,1
