Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
08101 Hospitalet de Llobregat, L';4 personas;Total (superficie útil);15.227
08101 Hospitalet de Llobregat, L';5 o más personas;Total (superficie útil);8.955
08113 Manresa;Total (tamaño del hogar);Total (superficie útil);31.030
08113 Manresa;1 persona;Total (superficie útil);8.859
08113 Manresa;2 personas;Total (superficie útil);8.972
08113 Manresa;3 personas;Total (superficie útil);6.053
08113 Manresa;4 personas;Total (superficie útil);4.632
08113 Manresa;5 o más personas;Total (superficie útil);2.514
08121 Mataró;Total (tamaño del hogar);Total (superficie útil);48.140
08121 Mataró;1 persona;Total (superficie útil);10.927
08121 Mataró;2 personas;Total (superficie útil);14.050
08121 Mataró;3 personas;Total (superficie útil);10.367
08121 Mataró;4 personas;Total (superficie útil);8.402
08121 Mataró;5 o más personas;Total (superficie útil);4.394
08124 Mollet del Vallès;Total (tamaño del hogar);Total (superficie útil);19.238
08124 Mollet del Vallès;1 persona;Total (superficie útil);4.051
08124 Mollet del Vallès;2 personas;Total (superficie útil);5.696
08124 Mollet del Vallès;3 personas;Total (superficie útil);4.535
08124 Mollet del Vallès;4 personas;Total (superficie útil);3.639
08124 Mollet del Vallès;5 o más personas;Total (superficie útil);1.317
08169 Prat de Llobregat, El;Total (tamaño del hogar);Total (superficie útil);24.614
08169 Prat de Llobregat, El;1 persona;Total (superficie útil);5.271
08169 Prat de Llobregat, El;2 personas;Total (superficie útil);7.520
08169 Prat de Llobregat, El;3 personas;Total (superficie útil);5.575
08169 Prat de Llobregat, El;4 personas;Total (superficie útil);4.453
08169 Prat de Llobregat, El;5 o más personas;Total (superficie útil);1.795
08184 Rubí;Total (tamaño del hogar);Total (superficie útil);28.881
08184 Rubí;1 persona;Total (superficie útil);6.023
08184 Rubí;2 personas;Total (superficie útil);8.353
08184 Rubí;3 personas;Total (superficie útil);6.570
08184 Rubí;4 personas;Total (superficie útil);5.428
08184 Rubí;5 o más personas;Total (superficie útil);2.507
08187 Sabadell;Total (tamaño del hogar);Total (superficie útil);83.558
08187 Sabadell;1 persona;Total (superficie útil);20.236
08187 Sabadell;2 personas;Total (superficie útil);25.103
08187 Sabadell;3 personas;Total (superficie útil);17.499
08187 Sabadell;4 personas;Total (superficie útil);14.512
08187 Sabadell;5 o más personas;Total (superficie útil);6.208
08200 Sant Boi de Llobregat;Total (tamaño del hogar);Total (superficie útil);31.529
08200 Sant Boi de Llobregat;1 persona;Total (superficie útil);6.641
08200 Sant Boi de Llobregat;2 personas;Total (superficie útil);9.608
08200 Sant Boi de Llobregat;3 personas;Total (superficie útil);7.233
08200 Sant Boi de Llobregat;4 personas;Total (superficie útil);5.941
08200 Sant Boi de Llobregat;5 o más personas;Total (superficie útil);2.106
08205 Sant Cugat del Vallès;Total (tamaño del hogar);Total (superficie útil);31.327
08205 Sant Cugat del Vallès;1 persona;Total (superficie útil);5.412
08205 Sant Cugat del Vallès;2 personas;Total (superficie útil);7.753
08205 Sant Cugat del Vallès;3 personas;Total (superficie útil);6.823
08205 Sant Cugat del Vallès;4 personas;Total (superficie útil);7.399
08205 Sant Cugat del Vallès;5 o más personas;Total (superficie útil);3.940
08245 Santa Coloma de Gramenet;Total (tamaño del hogar);Total (superficie útil);44.180
08245 Santa Coloma de Gramenet;1 persona;Total (superficie útil);9.839
08245 Santa Coloma de Gramenet;2 personas;Total (superficie útil);13.366
08245 Santa Coloma de Gramenet;3 personas;Total (superficie útil);9.610
08245 Santa Coloma de Gramenet;4 personas;Total (superficie útil);7.156
08245 Santa Coloma de Gramenet;5 o más personas;Total (superficie útil);4.209
08266 Cerdanyola del Vallès;Total (tamaño del hogar);Total (superficie útil);21.726
08266 Cerdanyola del Vallès;1 persona;Total (superficie útil);4.776
08266 Cerdanyola del Vallès;2 personas;Total (superficie útil);6.587
08266 Cerdanyola del Vallès;3 personas;Total (superficie útil);4.883
08266 Cerdanyola del Vallès;4 personas;Total (superficie útil);4.081
08266 Cerdanyola del Vallès;5 o más personas;Total (superficie útil);1.399
08279 Terrassa;Total (tamaño del hogar);Total (superficie útil);84.791
08279 Terrassa;1 persona;Total (superficie útil);20.499
08279 Terrassa;2 personas;Total (superficie útil);24.722
08279 Terrassa;3 personas;Total (superficie útil);17.915
08279 Terrassa;4 personas;Total (superficie útil);14.786
08279 Terrassa;5 o más personas;Total (superficie útil);6.869
08301 Viladecans;Total (tamaño del hogar);Total (superficie útil);24.405
08301 Viladecans;1 persona;Total (superficie útil);4.534
08301 Viladecans;2 personas;Total (superficie útil);7.016
08301 Viladecans;3 personas;Total (superficie útil);5.936
08301 Viladecans;4 personas;Total (superficie útil);5.234
08301 Viladecans;5 o más personas;Total (superficie útil);1.685
08307 Vilanova i la Geltrú;Total (tamaño del hogar);Total (superficie útil);26.067
08307 Vilanova i la Geltrú;1 persona;Total (superficie útil);6.730
08307 Vilanova i la Geltrú;2 personas;Total (superficie útil);7.895
08307 Vilanova i la Geltrú;3 personas;Total (superficie útil);5.640
08307 Vilanova i la Geltrú;4 personas;Total (superficie útil);4.140
08307 Vilanova i la Geltrú;5 o más personas;Total (superficie útil);1.662
09059 Burgos;Total (tamaño del hogar);Total (superficie útil);73.410
09059 Burgos;1 persona;Total (superficie útil);23.614
09059 Burgos;2 personas;Total (superficie útil);20.730
09059 Burgos;3 personas;Total (superficie útil);14.505
09059 Burgos;4 personas;Total (superficie útil);10.881
09059 Burgos;5 o más personas;Total (superficie útil);3.680
10037 Cáceres;Total (tamaño del hogar);Total (superficie útil);39.048
10037 Cáceres;1 persona;Total (superficie útil);11.516
10037 Cáceres;2 personas;Total (superficie útil);10.463
10037 Cáceres;3 personas;Total (superficie útil);8.272
10037 Cáceres;4 personas;Total (superficie útil);6.815
10037 Cáceres;5 o más personas;Total (superficie útil);1.982
11004 Algeciras;Total (tamaño del hogar);Total (superficie útil);45.430
11004 Algeciras;1 persona;Total (superficie útil);10.691
11004 Algeciras;2 personas;Total (superficie útil);11.720
11004 Algeciras;3 personas;Total (superficie útil);10.023
11004 Algeciras;4 personas;Total (superficie útil);8.710
11004 Algeciras;5 o más personas;Total (superficie útil);4.286
11012 Cádiz;Total (tamaño del hogar);Total (superficie útil);46.071
11012 Cádiz;1 persona;Total (superficie útil);12.432
11012 Cádiz;2 personas;Total (superficie útil);13.360
11012 Cádiz;3 personas;Total (superficie útil);10.121
11012 Cádiz;4 personas;Total (superficie útil);7.474
11012 Cádiz;5 o más personas;Total (superficie útil);2.684
11015 Chiclana de la Frontera;Total (tamaño del hogar);Total (superficie útil);31.638
11015 Chiclana de la Frontera;1 persona;Total (superficie útil);6.995
11015 Chiclana de la Frontera;2 personas;Total (superficie útil);8.063
11015 Chiclana de la Frontera;3 personas;Total (superficie útil);7.101
11015 Chiclana de la Frontera;4 personas;Total (superficie útil);6.869
11015 Chiclana de la Frontera;5 o más personas;Total (superficie útil);2.610
11020 Jerez de la Frontera;Total (tamaño del hogar);Total (superficie útil);79.708
11020 Jerez de la Frontera;1 persona;Total (superficie útil);17.950
11020 Jerez de la Frontera;2 personas;Total (superficie útil);21.208
11020 Jerez de la Frontera;3 personas;Total (superficie útil);18.227
11020 Jerez de la Frontera;4 personas;Total (superficie útil);16.351
11020 Jerez de la Frontera;5 o más personas;Total (superficie útil);5.972
11022 Línea de la Concepción, La;Total (tamaño del hogar);Total (superficie útil);24.282
11022 Línea de la Concepción, La;1 persona;Total (superficie útil);5.988
11022 Línea de la Concepción, La;2 personas;Total (superficie útil);6.764
11022 Línea de la Concepción, La;3 personas;Total (superficie útil);5.475
11022 Línea de la Concepción, La;4 personas;Total (superficie útil);3.887
11022 Línea de la Concepción, La;5 o más personas;Total (superficie útil);2.168
11027 Puerto de Santa María, El;Total (tamaño del hogar);Total (superficie útil);32.489
11027 Puerto de Santa María, El;1 persona;Total (superficie útil);7.424
11027 Puerto de Santa María, El;2 personas;Total (superficie útil);8.267
11027 Puerto de Santa María, El;3 personas;Total (superficie útil);7.113
11027 Puerto de Santa María, El;4 personas;Total (superficie útil);6.622
11027 Puerto de Santa María, El;5 o más personas;Total (superficie útil);3.063
11031 San Fernando;Total (tamaño del hogar);Total (superficie útil);34.878
11031 San Fernando;1 persona;Total (superficie útil);7.149
11031 San Fernando;2 personas;Total (superficie útil);9.373
11031 San Fernando;3 personas;Total (superficie útil);8.360
11031 San Fernando;4 personas;Total (superficie útil);7.448
11031 San Fernando;5 o más personas;Total (superficie útil);2.548
11032 Sanlúcar de Barrameda;Total (tamaño del hogar);Total (superficie útil);25.294
11032 Sanlúcar de Barrameda;1 persona;Total (superficie útil);5.732
11032 Sanlúcar de Barrameda;2 personas;Total (superficie útil);6.365
11032 Sanlúcar de Barrameda;3 personas;Total (superficie útil);5.721
11032 Sanlúcar de Barrameda;4 personas;Total (superficie útil);5.248
11032 Sanlúcar de Barrameda;5 o más personas;Total (superficie útil);2.228
12040 Castelló de la Plana;Total (tamaño del hogar);Total (superficie útil);69.787
12040 Castelló de la Plana;1 persona;Total (superficie útil);19.592
12040 Castelló de la Plana;2 personas;Total (superficie útil);20.002
12040 Castelló de la Plana;3 personas;Total (superficie útil);14.493
12040 Castelló de la Plana;4 personas;Total (superficie útil);11.605
12040 Castelló de la Plana;5 o más personas;Total (superficie útil);4.095
12135 Vila-real;Total (tamaño del hogar);Total (superficie útil);19.177
12135 Vila-real;1 persona;Total (superficie útil);4.711
12135 Vila-real;2 personas;Total (superficie útil);5.250
12135 Vila-real;3 personas;Total (superficie útil);4.092
12135 Vila-real;4 personas;Total (superficie útil);3.782
12135 Vila-real;5 o más personas;Total (superficie útil);1.342
13034 Ciudad Real;Total (tamaño del hogar);Total (superficie útil);29.875
13034 Ciudad Real;1 persona;Total (superficie útil);8.771
