Municipios (con más de 50.000 habitantes) y capitales de provincia;Régimen de tenencia de la vivienda;Total
28134 San Sebastián de los Reyes;Otro régimen de tenencia;1.101
28148 Torrejón de Ardoz;Total (régimen de tenencia);47.253
28148 Torrejón de Ardoz;En propiedad;36.371
28148 Torrejón de Ardoz;En alquiler;8.842
28148 Torrejón de Ardoz;Otro régimen de tenencia;2.040
28161 Valdemoro;Total (régimen de tenencia);26.569
28161 Valdemoro;En propiedad;21.067
28161 Valdemoro;En alquiler;4.570
28161 Valdemoro;Otro régimen de tenencia;932
29025 Benalmádena;Total (régimen de tenencia);29.656
29025 Benalmádena;En propiedad;22.865
29025 Benalmádena;En alquiler;4.788
29025 Benalmádena;Otro régimen de tenencia;2.003
29051 Estepona;Total (régimen de tenencia);27.729
29051 Estepona;En propiedad;21.614
29051 Estepona;En alquiler;4.232
29051 Estepona;Otro régimen de tenencia;1.883
29054 Fuengirola;Total (régimen de tenencia);33.911
29054 Fuengirola;En propiedad;22.346
29054 Fuengirola;En alquiler;6.946
29054 Fuengirola;Otro régimen de tenencia;4.619
29067 Málaga;Total (régimen de tenencia);218.245
29067 Málaga;En propiedad;174.332
29067 Málaga;En alquiler;29.366
29067 Málaga;Otro régimen de tenencia;14.547
29069 Marbella;Total (régimen de tenencia);56.491
29069 Marbella;En propiedad;41.764
29069 Marbella;En alquiler;10.221
29069 Marbella;Otro régimen de tenencia;4.506
29070 Mijas;Total (régimen de tenencia);33.623
29070 Mijas;En propiedad;25.135
29070 Mijas;En alquiler;5.793
29070 Mijas;Otro régimen de tenencia;2.695
29094 Vélez-Málaga;Total (régimen de tenencia);32.267
29094 Vélez-Málaga;En propiedad;25.905
29094 Vélez-Málaga;En alquiler;4.188
29094 Vélez-Málaga;Otro régimen de tenencia;2.174
29901 Torremolinos;Total (régimen de tenencia);29.339
29901 Torremolinos;En propiedad;22.683
29901 Torremolinos;En alquiler;4.458
29901 Torremolinos;Otro régimen de tenencia;2.198
30016 Cartagena;Total (régimen de tenencia);77.228
30016 Cartagena;En propiedad;60.143
30016 Cartagena;En alquiler;10.636
30016 Cartagena;Otro régimen de tenencia;6.449
30024 Lorca;Total (régimen de tenencia);31.833
30024 Lorca;En propiedad;23.048
30024 Lorca;En alquiler;5.766
30024 Lorca;Otro régimen de tenencia;3.019
30027 Molina de Segura;Total (régimen de tenencia);26.050
30027 Molina de Segura;En propiedad;20.766
30027 Molina de Segura;En alquiler;3.229
30027 Molina de Segura;Otro régimen de tenencia;2.055
30030 Murcia;Total (régimen de tenencia);163.570
30030 Murcia;En propiedad;121.850
30030 Murcia;En alquiler;26.137
30030 Murcia;Otro régimen de tenencia;15.583
31201 Pamplona/Iruña;Total (régimen de tenencia);82.670
31201 Pamplona/Iruña;En propiedad;62.543
31201 Pamplona/Iruña;En alquiler;15.444
31201 Pamplona/Iruña;Otro régimen de tenencia;4.683
32054 Ourense;Total (régimen de tenencia);44.981
32054 Ourense;En propiedad;31.516
32054 Ourense;En alquiler;8.175
32054 Ourense;Otro régimen de tenencia;5.290
33004 Avilés;Total (régimen de tenencia);34.135
33004 Avilés;En propiedad;26.317
33004 Avilés;En alquiler;4.445
33004 Avilés;Otro régimen de tenencia;3.373
33024 Gijón;Total (régimen de tenencia);120.349
33024 Gijón;En propiedad;90.297
33024 Gijón;En alquiler;18.553
33024 Gijón;Otro régimen de tenencia;11.499
33044 Oviedo;Total (régimen de tenencia);95.561
33044 Oviedo;En propiedad;69.372
33044 Oviedo;En alquiler;16.323
33044 Oviedo;Otro régimen de tenencia;9.866
33066 Siero;Total (régimen de tenencia);21.184
33066 Siero;En propiedad;15.873
33066 Siero;En alquiler;3.115
33066 Siero;Otro régimen de tenencia;2.196
34120 Palencia;Total (régimen de tenencia);33.006
34120 Palencia;En propiedad;25.830
34120 Palencia;En alquiler;4.918
34120 Palencia;Otro régimen de tenencia;2.258
35004 Arrecife;Total (régimen de tenencia);22.697
35004 Arrecife;En propiedad;13.631
35004 Arrecife;En alquiler;5.912
35004 Arrecife;Otro régimen de tenencia;3.154
35016 Palmas de Gran Canaria, Las;Total (régimen de tenencia);143.195
35016 Palmas de Gran Canaria, Las;En propiedad;94.443
35016 Palmas de Gran Canaria, Las;En alquiler;31.685
35016 Palmas de Gran Canaria, Las;Otro régimen de tenencia;17.067
35019 San Bartolomé de Tirajana;Total (régimen de tenencia);22.312
35019 San Bartolomé de Tirajana;En propiedad;13.204
35019 San Bartolomé de Tirajana;En alquiler;6.017
35019 San Bartolomé de Tirajana;Otro régimen de tenencia;3.091
35022 Santa Lucía de Tirajana;Total (régimen de tenencia);26.309
35022 Santa Lucía de Tirajana;En propiedad;18.014
35022 Santa Lucía de Tirajana;En alquiler;5.528
