Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
27028 Lugo;Total;Total;62.648
27028 Lugo;Total;Antes de 1900;3.303
27028 Lugo;Total;De 1900 a 1920;403
27028 Lugo;Total;De 1921 a 1940;1.586
27028 Lugo;Total;De 1941 a 1950;1.633
27028 Lugo;Total;De 1951 a 1960;2.893
27028 Lugo;Total;De 1961 a 1970;5.068
27028 Lugo;Total;De 1971 a 1980;9.377
27028 Lugo;Total;De 1981 a 1990;10.881
27028 Lugo;Total;De 1991 a 2000;13.080
27028 Lugo;Total;De 2001 a 2010;12.181
27028 Lugo;Total;De 2011 a 2020;1.587
27028 Lugo;Total;No consta;656
27028 Lugo;Vivienda principal;Total;41.300
27028 Lugo;Vivienda principal;Antes de 1900;1.468
27028 Lugo;Vivienda principal;De 1900 a 1920;168
27028 Lugo;Vivienda principal;De 1921 a 1940;661
27028 Lugo;Vivienda principal;De 1941 a 1950;741
27028 Lugo;Vivienda principal;De 1951 a 1960;1.504
27028 Lugo;Vivienda principal;De 1961 a 1970;3.093
27028 Lugo;Vivienda principal;De 1971 a 1980;6.607
27028 Lugo;Vivienda principal;De 1981 a 1990;7.933
27028 Lugo;Vivienda principal;De 1991 a 2000;9.388
27028 Lugo;Vivienda principal;De 2001 a 2010;8.554
27028 Lugo;Vivienda principal;De 2011 a 2020;956
27028 Lugo;Vivienda principal;No consta;227
27028 Lugo;Vivienda no principal;Total;21.348
27028 Lugo;Vivienda no principal;Antes de 1900;1.835
27028 Lugo;Vivienda no principal;De 1900 a 1920;235
27028 Lugo;Vivienda no principal;De 1921 a 1940;925
27028 Lugo;Vivienda no principal;De 1941 a 1950;892
27028 Lugo;Vivienda no principal;De 1951 a 1960;1.389
27028 Lugo;Vivienda no principal;De 1961 a 1970;1.975
27028 Lugo;Vivienda no principal;De 1971 a 1980;2.770
27028 Lugo;Vivienda no principal;De 1981 a 1990;2.948
27028 Lugo;Vivienda no principal;De 1991 a 2000;3.692
27028 Lugo;Vivienda no principal;De 2001 a 2010;3.627
27028 Lugo;Vivienda no principal;De 2011 a 2020;631
27028 Lugo;Vivienda no principal;No consta;429
28005 Alcalá de Henares;Total;Total;79.588
28005 Alcalá de Henares;Total;Antes de 1900;27
28005 Alcalá de Henares;Total;De 1900 a 1920;684
28005 Alcalá de Henares;Total;De 1921 a 1940;123
28005 Alcalá de Henares;Total;De 1941 a 1950;176
28005 Alcalá de Henares;Total;De 1951 a 1960;865
28005 Alcalá de Henares;Total;De 1961 a 1970;10.919
28005 Alcalá de Henares;Total;De 1971 a 1980;33.236
28005 Alcalá de Henares;Total;De 1981 a 1990;6.445
28005 Alcalá de Henares;Total;De 1991 a 2000;12.770
28005 Alcalá de Henares;Total;De 2001 a 2010;8.943
28005 Alcalá de Henares;Total;De 2011 a 2020;4.779
28005 Alcalá de Henares;Total;No consta;621
28005 Alcalá de Henares;Vivienda principal;Total;72.991
28005 Alcalá de Henares;Vivienda principal;Antes de 1900;22
28005 Alcalá de Henares;Vivienda principal;De 1900 a 1920;470
28005 Alcalá de Henares;Vivienda principal;De 1921 a 1940;92
28005 Alcalá de Henares;Vivienda principal;De 1941 a 1950;123
28005 Alcalá de Henares;Vivienda principal;De 1951 a 1960;696
28005 Alcalá de Henares;Vivienda principal;De 1961 a 1970;9.902
28005 Alcalá de Henares;Vivienda principal;De 1971 a 1980;31.283
28005 Alcalá de Henares;Vivienda principal;De 1981 a 1990;6.000
28005 Alcalá de Henares;Vivienda principal;De 1991 a 2000;11.886
28005 Alcalá de Henares;Vivienda principal;De 2001 a 2010;8.119
28005 Alcalá de Henares;Vivienda principal;De 2011 a 2020;3.907
28005 Alcalá de Henares;Vivienda principal;No consta;491
28005 Alcalá de Henares;Vivienda no principal;Total;6.597
28005 Alcalá de Henares;Vivienda no principal;Antes de 1900;5
28005 Alcalá de Henares;Vivienda no principal;De 1900 a 1920;214
28005 Alcalá de Henares;Vivienda no principal;De 1921 a 1940;31
28005 Alcalá de Henares;Vivienda no principal;De 1941 a 1950;53
28005 Alcalá de Henares;Vivienda no principal;De 1951 a 1960;169
28005 Alcalá de Henares;Vivienda no principal;De 1961 a 1970;1.017
28005 Alcalá de Henares;Vivienda no principal;De 1971 a 1980;1.953
28005 Alcalá de Henares;Vivienda no principal;De 1981 a 1990;445
28005 Alcalá de Henares;Vivienda no principal;De 1991 a 2000;884
28005 Alcalá de Henares;Vivienda no principal;De 2001 a 2010;824
28005 Alcalá de Henares;Vivienda no principal;De 2011 a 2020;872
28005 Alcalá de Henares;Vivienda no principal;No consta;130
28006 Alcobendas;Total;Total;42.744
28006 Alcobendas;Total;Antes de 1900;0
28006 Alcobendas;Total;De 1900 a 1920;18
28006 Alcobendas;Total;De 1921 a 1940;15
28006 Alcobendas;Total;De 1941 a 1950;66
28006 Alcobendas;Total;De 1951 a 1960;427
28006 Alcobendas;Total;De 1961 a 1970;6.524
28006 Alcobendas;Total;De 1971 a 1980;10.897
28006 Alcobendas;Total;De 1981 a 1990;6.512
28006 Alcobendas;Total;De 1991 a 2000;6.597
28006 Alcobendas;Total;De 2001 a 2010;9.530
28006 Alcobendas;Total;De 2011 a 2020;1.717
28006 Alcobendas;Total;No consta;441
28006 Alcobendas;Vivienda principal;Total;40.084
28006 Alcobendas;Vivienda principal;Antes de 1900;0
28006 Alcobendas;Vivienda principal;De 1900 a 1920;15
28006 Alcobendas;Vivienda principal;De 1921 a 1940;12
28006 Alcobendas;Vivienda principal;De 1941 a 1950;60
28006 Alcobendas;Vivienda principal;De 1951 a 1960;385
28006 Alcobendas;Vivienda principal;De 1961 a 1970;6.320
28006 Alcobendas;Vivienda principal;De 1971 a 1980;10.467
28006 Alcobendas;Vivienda principal;De 1981 a 1990;5.948
28006 Alcobendas;Vivienda principal;De 1991 a 2000;6.172
28006 Alcobendas;Vivienda principal;De 2001 a 2010;8.804
28006 Alcobendas;Vivienda principal;De 2011 a 2020;1.470
28006 Alcobendas;Vivienda principal;No consta;431
28006 Alcobendas;Vivienda no principal;Total;2.660
28006 Alcobendas;Vivienda no principal;Antes de 1900;0
28006 Alcobendas;Vivienda no principal;De 1900 a 1920;3
28006 Alcobendas;Vivienda no principal;De 1921 a 1940;3
28006 Alcobendas;Vivienda no principal;De 1941 a 1950;6
28006 Alcobendas;Vivienda no principal;De 1951 a 1960;42
28006 Alcobendas;Vivienda no principal;De 1961 a 1970;204
28006 Alcobendas;Vivienda no principal;De 1971 a 1980;430
28006 Alcobendas;Vivienda no principal;De 1981 a 1990;564
28006 Alcobendas;Vivienda no principal;De 1991 a 2000;425
28006 Alcobendas;Vivienda no principal;De 2001 a 2010;726
28006 Alcobendas;Vivienda no principal;De 2011 a 2020;247
28006 Alcobendas;Vivienda no principal;No consta;10
28007 Alcorcón;Total;Total;70.601
28007 Alcorcón;Total;Antes de 1900;0
28007 Alcorcón;Total;De 1900 a 1920;3
28007 Alcorcón;Total;De 1921 a 1940;54
28007 Alcorcón;Total;De 1941 a 1950;284
28007 Alcorcón;Total;De 1951 a 1960;594
28007 Alcorcón;Total;De 1961 a 1970;16.538
28007 Alcorcón;Total;De 1971 a 1980;26.766
28007 Alcorcón;Total;De 1981 a 1990;621
28007 Alcorcón;Total;De 1991 a 2000;12.182
28007 Alcorcón;Total;De 2001 a 2010;10.704
28007 Alcorcón;Total;De 2011 a 2020;2.565
28007 Alcorcón;Total;No consta;290
28007 Alcorcón;Vivienda principal;Total;65.867
28007 Alcorcón;Vivienda principal;Antes de 1900;0
28007 Alcorcón;Vivienda principal;De 1900 a 1920;3
28007 Alcorcón;Vivienda principal;De 1921 a 1940;39
28007 Alcorcón;Vivienda principal;De 1941 a 1950;259
28007 Alcorcón;Vivienda principal;De 1951 a 1960;544
28007 Alcorcón;Vivienda principal;De 1961 a 1970;15.631
28007 Alcorcón;Vivienda principal;De 1971 a 1980;25.146
28007 Alcorcón;Vivienda principal;De 1981 a 1990;576
28007 Alcorcón;Vivienda principal;De 1991 a 2000;11.456
28007 Alcorcón;Vivienda principal;De 2001 a 2010;9.793
28007 Alcorcón;Vivienda principal;De 2011 a 2020;2.257
28007 Alcorcón;Vivienda principal;No consta;163
28007 Alcorcón;Vivienda no principal;Total;4.734
28007 Alcorcón;Vivienda no principal;Antes de 1900;0
28007 Alcorcón;Vivienda no principal;De 1900 a 1920;0
28007 Alcorcón;Vivienda no principal;De 1921 a 1940;15
28007 Alcorcón;Vivienda no principal;De 1941 a 1950;25
28007 Alcorcón;Vivienda no principal;De 1951 a 1960;50
28007 Alcorcón;Vivienda no principal;De 1961 a 1970;907
28007 Alcorcón;Vivienda no principal;De 1971 a 1980;1.620
28007 Alcorcón;Vivienda no principal;De 1981 a 1990;45
28007 Alcorcón;Vivienda no principal;De 1991 a 2000;726
28007 Alcorcón;Vivienda no principal;De 2001 a 2010;911
28007 Alcorcón;Vivienda no principal;De 2011 a 2020;308
28007 Alcorcón;Vivienda no principal;No consta;127
28013 Aranjuez;Total;Total;25.682
28013 Aranjuez;Total;Antes de 1900;309
28013 Aranjuez;Total;De 1900 a 1920;828
28013 Aranjuez;Total;De 1921 a 1940;336
28013 Aranjuez;Total;De 1941 a 1950;246
28013 Aranjuez;Total;De 1951 a 1960;1.412
28013 Aranjuez;Total;De 1961 a 1970;2.997
28013 Aranjuez;Total;De 1971 a 1980;4.521
28013 Aranjuez;Total;De 1981 a 1990;1.634
28013 Aranjuez;Total;De 1991 a 2000;3.818
28013 Aranjuez;Total;De 2001 a 2010;8.559
28013 Aranjuez;Total;De 2011 a 2020;524
28013 Aranjuez;Total;No consta;498
28013 Aranjuez;Vivienda principal;Total;21.571
28013 Aranjuez;Vivienda principal;Antes de 1900;196
28013 Aranjuez;Vivienda principal;De 1900 a 1920;552
28013 Aranjuez;Vivienda principal;De 1921 a 1940;243
28013 Aranjuez;Vivienda principal;De 1941 a 1950;168
28013 Aranjuez;Vivienda principal;De 1951 a 1960;1.204
28013 Aranjuez;Vivienda principal;De 1961 a 1970;2.473
28013 Aranjuez;Vivienda principal;De 1971 a 1980;4.112
28013 Aranjuez;Vivienda principal;De 1981 a 1990;1.449
28013 Aranjuez;Vivienda principal;De 1991 a 2000;3.468
28013 Aranjuez;Vivienda principal;De 2001 a 2010;7.184
28013 Aranjuez;Vivienda principal;De 2011 a 2020;412
28013 Aranjuez;Vivienda principal;No consta;110
28013 Aranjuez;Vivienda no principal;Total;4.111
28013 Aranjuez;Vivienda no principal;Antes de 1900;113
28013 Aranjuez;Vivienda no principal;De 1900 a 1920;276
28013 Aranjuez;Vivienda no principal;De 1921 a 1940;93
28013 Aranjuez;Vivienda no principal;De 1941 a 1950;78
28013 Aranjuez;Vivienda no principal;De 1951 a 1960;208
28013 Aranjuez;Vivienda no principal;De 1961 a 1970;524
28013 Aranjuez;Vivienda no principal;De 1971 a 1980;409
28013 Aranjuez;Vivienda no principal;De 1981 a 1990;185
28013 Aranjuez;Vivienda no principal;De 1991 a 2000;350
28013 Aranjuez;Vivienda no principal;De 2001 a 2010;1.375
28013 Aranjuez;Vivienda no principal;De 2011 a 2020;112
28013 Aranjuez;Vivienda no principal;No consta;388
28014 Arganda del Rey;Total;Total;21.573
28014 Arganda del Rey;Total;Antes de 1900;0
28014 Arganda del Rey;Total;De 1900 a 1920;379
28014 Arganda del Rey;Total;De 1921 a 1940;139
28014 Arganda del Rey;Total;De 1941 a 1950;58
28014 Arganda del Rey;Total;De 1951 a 1960;256
28014 Arganda del Rey;Total;De 1961 a 1970;2.463
28014 Arganda del Rey;Total;De 1971 a 1980;3.747
28014 Arganda del Rey;Total;De 1981 a 1990;1.832
28014 Arganda del Rey;Total;De 1991 a 2000;2.468
28014 Arganda del Rey;Total;De 2001 a 2010;8.865
28014 Arganda del Rey;Total;De 2011 a 2020;1.269
28014 Arganda del Rey;Total;No consta;97
28014 Arganda del Rey;Vivienda principal;Total;19.643
28014 Arganda del Rey;Vivienda principal;Antes de 1900;0
28014 Arganda del Rey;Vivienda principal;De 1900 a 1920;305
28014 Arganda del Rey;Vivienda principal;De 1921 a 1940;108
28014 Arganda del Rey;Vivienda principal;De 1941 a 1950;36
28014 Arganda del Rey;Vivienda principal;De 1951 a 1960;205
28014 Arganda del Rey;Vivienda principal;De 1961 a 1970;2.273
28014 Arganda del Rey;Vivienda principal;De 1971 a 1980;3.464
28014 Arganda del Rey;Vivienda principal;De 1981 a 1990;1.713
28014 Arganda del Rey;Vivienda principal;De 1991 a 2000;2.304
28014 Arganda del Rey;Vivienda principal;De 2001 a 2010;8.036
28014 Arganda del Rey;Vivienda principal;De 2011 a 2020;1.120
28014 Arganda del Rey;Vivienda principal;No consta;79
28014 Arganda del Rey;Vivienda no principal;Total;1.930
28014 Arganda del Rey;Vivienda no principal;Antes de 1900;0
28014 Arganda del Rey;Vivienda no principal;De 1900 a 1920;74
28014 Arganda del Rey;Vivienda no principal;De 1921 a 1940;31
28014 Arganda del Rey;Vivienda no principal;De 1941 a 1950;22
28014 Arganda del Rey;Vivienda no principal;De 1951 a 1960;51
28014 Arganda del Rey;Vivienda no principal;De 1961 a 1970;190
28014 Arganda del Rey;Vivienda no principal;De 1971 a 1980;283
28014 Arganda del Rey;Vivienda no principal;De 1981 a 1990;119
28014 Arganda del Rey;Vivienda no principal;De 1991 a 2000;164
28014 Arganda del Rey;Vivienda no principal;De 2001 a 2010;829
28014 Arganda del Rey;Vivienda no principal;De 2011 a 2020;149
28014 Arganda del Rey;Vivienda no principal;No consta;18
28022 Boadilla del Monte;Total;Total;19.874
28022 Boadilla del Monte;Total;Antes de 1900;0
28022 Boadilla del Monte;Total;De 1900 a 1920;4
28022 Boadilla del Monte;Total;De 1921 a 1940;6
28022 Boadilla del Monte;Total;De 1941 a 1950;17
28022 Boadilla del Monte;Total;De 1951 a 1960;27
28022 Boadilla del Monte;Total;De 1961 a 1970;207
28022 Boadilla del Monte;Total;De 1971 a 1980;1.795
28022 Boadilla del Monte;Total;De 1981 a 1990;3.456
28022 Boadilla del Monte;Total;De 1991 a 2000;4.408
28022 Boadilla del Monte;Total;De 2001 a 2010;6.270
28022 Boadilla del Monte;Total;De 2011 a 2020;3.604
28022 Boadilla del Monte;Total;No consta;80
28022 Boadilla del Monte;Vivienda principal;Total;18.060
28022 Boadilla del Monte;Vivienda principal;Antes de 1900;0
28022 Boadilla del Monte;Vivienda principal;De 1900 a 1920;3
28022 Boadilla del Monte;Vivienda principal;De 1921 a 1940;4
28022 Boadilla del Monte;Vivienda principal;De 1941 a 1950;16
28022 Boadilla del Monte;Vivienda principal;De 1951 a 1960;23
28022 Boadilla del Monte;Vivienda principal;De 1961 a 1970;185
28022 Boadilla del Monte;Vivienda principal;De 1971 a 1980;1.593
28022 Boadilla del Monte;Vivienda principal;De 1981 a 1990;3.085
28022 Boadilla del Monte;Vivienda principal;De 1991 a 2000;4.216
28022 Boadilla del Monte;Vivienda principal;De 2001 a 2010;5.796
28022 Boadilla del Monte;Vivienda principal;De 2011 a 2020;3.063
28022 Boadilla del Monte;Vivienda principal;No consta;76
28022 Boadilla del Monte;Vivienda no principal;Total;1.814
28022 Boadilla del Monte;Vivienda no principal;Antes de 1900;0
28022 Boadilla del Monte;Vivienda no principal;De 1900 a 1920;1
28022 Boadilla del Monte;Vivienda no principal;De 1921 a 1940;2
28022 Boadilla del Monte;Vivienda no principal;De 1941 a 1950;1
28022 Boadilla del Monte;Vivienda no principal;De 1951 a 1960;4
28022 Boadilla del Monte;Vivienda no principal;De 1961 a 1970;22
28022 Boadilla del Monte;Vivienda no principal;De 1971 a 1980;202
28022 Boadilla del Monte;Vivienda no principal;De 1981 a 1990;371
28022 Boadilla del Monte;Vivienda no principal;De 1991 a 2000;192
28022 Boadilla del Monte;Vivienda no principal;De 2001 a 2010;474
28022 Boadilla del Monte;Vivienda no principal;De 2011 a 2020;541
28022 Boadilla del Monte;Vivienda no principal;No consta;4
28045 Colmenar Viejo;Total;Total;20.461
28045 Colmenar Viejo;Total;Antes de 1900;4
28045 Colmenar Viejo;Total;De 1900 a 1920;97
28045 Colmenar Viejo;Total;De 1921 a 1940;132
28045 Colmenar Viejo;Total;De 1941 a 1950;142
28045 Colmenar Viejo;Total;De 1951 a 1960;711
28045 Colmenar Viejo;Total;De 1961 a 1970;2.419
28045 Colmenar Viejo;Total;De 1971 a 1980;3.802
28045 Colmenar Viejo;Total;De 1981 a 1990;2.252
28045 Colmenar Viejo;Total;De 1991 a 2000;3.516
28045 Colmenar Viejo;Total;De 2001 a 2010;5.079
28045 Colmenar Viejo;Total;De 2011 a 2020;1.855
28045 Colmenar Viejo;Total;No consta;452
28045 Colmenar Viejo;Vivienda principal;Total;17.888
28045 Colmenar Viejo;Vivienda principal;Antes de 1900;1
28045 Colmenar Viejo;Vivienda principal;De 1900 a 1920;62
28045 Colmenar Viejo;Vivienda principal;De 1921 a 1940;101
28045 Colmenar Viejo;Vivienda principal;De 1941 a 1950;97
28045 Colmenar Viejo;Vivienda principal;De 1951 a 1960;560
28045 Colmenar Viejo;Vivienda principal;De 1961 a 1970;2.026
28045 Colmenar Viejo;Vivienda principal;De 1971 a 1980;3.463
28045 Colmenar Viejo;Vivienda principal;De 1981 a 1990;2.088
28045 Colmenar Viejo;Vivienda principal;De 1991 a 2000;3.228
28045 Colmenar Viejo;Vivienda principal;De 2001 a 2010;4.478
28045 Colmenar Viejo;Vivienda principal;De 2011 a 2020;1.603
28045 Colmenar Viejo;Vivienda principal;No consta;181
28045 Colmenar Viejo;Vivienda no principal;Total;2.573
28045 Colmenar Viejo;Vivienda no principal;Antes de 1900;3
28045 Colmenar Viejo;Vivienda no principal;De 1900 a 1920;35
28045 Colmenar Viejo;Vivienda no principal;De 1921 a 1940;31
28045 Colmenar Viejo;Vivienda no principal;De 1941 a 1950;45
28045 Colmenar Viejo;Vivienda no principal;De 1951 a 1960;151
28045 Colmenar Viejo;Vivienda no principal;De 1961 a 1970;393
28045 Colmenar Viejo;Vivienda no principal;De 1971 a 1980;339
28045 Colmenar Viejo;Vivienda no principal;De 1981 a 1990;164
28045 Colmenar Viejo;Vivienda no principal;De 1991 a 2000;288
28045 Colmenar Viejo;Vivienda no principal;De 2001 a 2010;601
28045 Colmenar Viejo;Vivienda no principal;De 2011 a 2020;252
28045 Colmenar Viejo;Vivienda no principal;No consta;271
28047 Collado Villalba;Total;Total;27.922
28047 Collado Villalba;Total;Antes de 1900;6
28047 Collado Villalba;Total;De 1900 a 1920;88
28047 Collado Villalba;Total;De 1921 a 1940;166
28047 Collado Villalba;Total;De 1941 a 1950;144
28047 Collado Villalba;Total;De 1951 a 1960;1.124
28047 Collado Villalba;Total;De 1961 a 1970;2.191
28047 Collado Villalba;Total;De 1971 a 1980;8.521
28047 Collado Villalba;Total;De 1981 a 1990;3.875
28047 Collado Villalba;Total;De 1991 a 2000;5.714
28047 Collado Villalba;Total;De 2001 a 2010;5.325
28047 Collado Villalba;Total;De 2011 a 2020;587
28047 Collado Villalba;Total;No consta;181
28047 Collado Villalba;Vivienda principal;Total;23.281
28047 Collado Villalba;Vivienda principal;Antes de 1900;5
28047 Collado Villalba;Vivienda principal;De 1900 a 1920;54
28047 Collado Villalba;Vivienda principal;De 1921 a 1940;100
28047 Collado Villalba;Vivienda principal;De 1941 a 1950;101
28047 Collado Villalba;Vivienda principal;De 1951 a 1960;928
28047 Collado Villalba;Vivienda principal;De 1961 a 1970;1.771
28047 Collado Villalba;Vivienda principal;De 1971 a 1980;6.963
28047 Collado Villalba;Vivienda principal;De 1981 a 1990;3.414
28047 Collado Villalba;Vivienda principal;De 1991 a 2000;5.031
28047 Collado Villalba;Vivienda principal;De 2001 a 2010;4.365
28047 Collado Villalba;Vivienda principal;De 2011 a 2020;423
28047 Collado Villalba;Vivienda principal;No consta;126
28047 Collado Villalba;Vivienda no principal;Total;4.641
28047 Collado Villalba;Vivienda no principal;Antes de 1900;1
28047 Collado Villalba;Vivienda no principal;De 1900 a 1920;34
28047 Collado Villalba;Vivienda no principal;De 1921 a 1940;66
28047 Collado Villalba;Vivienda no principal;De 1941 a 1950;43
28047 Collado Villalba;Vivienda no principal;De 1951 a 1960;196
28047 Collado Villalba;Vivienda no principal;De 1961 a 1970;420
28047 Collado Villalba;Vivienda no principal;De 1971 a 1980;1.558
28047 Collado Villalba;Vivienda no principal;De 1981 a 1990;461
28047 Collado Villalba;Vivienda no principal;De 1991 a 2000;683
28047 Collado Villalba;Vivienda no principal;De 2001 a 2010;960
28047 Collado Villalba;Vivienda no principal;De 2011 a 2020;164
28047 Collado Villalba;Vivienda no principal;No consta;55
28049 Coslada;Total;Total;31.337
28049 Coslada;Total;Antes de 1900;0
28049 Coslada;Total;De 1900 a 1920;0
28049 Coslada;Total;De 1921 a 1940;3
28049 Coslada;Total;De 1941 a 1950;7
28049 Coslada;Total;De 1951 a 1960;230
28049 Coslada;Total;De 1961 a 1970;2.487
28049 Coslada;Total;De 1971 a 1980;15.630
28049 Coslada;Total;De 1981 a 1990;4.445
28049 Coslada;Total;De 1991 a 2000;3.133
28049 Coslada;Total;De 2001 a 2010;4.972
28049 Coslada;Total;De 2011 a 2020;371
28049 Coslada;Total;No consta;59
28049 Coslada;Vivienda principal;Total;29.649
28049 Coslada;Vivienda principal;Antes de 1900;0
28049 Coslada;Vivienda principal;De 1900 a 1920;0
28049 Coslada;Vivienda principal;De 1921 a 1940;2
28049 Coslada;Vivienda principal;De 1941 a 1950;6
28049 Coslada;Vivienda principal;De 1951 a 1960;215
28049 Coslada;Vivienda principal;De 1961 a 1970;2.358
28049 Coslada;Vivienda principal;De 1971 a 1980;15.093
28049 Coslada;Vivienda principal;De 1981 a 1990;4.298
28049 Coslada;Vivienda principal;De 1991 a 2000;2.849
28049 Coslada;Vivienda principal;De 2001 a 2010;4.469
28049 Coslada;Vivienda principal;De 2011 a 2020;306
28049 Coslada;Vivienda principal;No consta;53
28049 Coslada;Vivienda no principal;Total;1.688
28049 Coslada;Vivienda no principal;Antes de 1900;0
28049 Coslada;Vivienda no principal;De 1900 a 1920;0
28049 Coslada;Vivienda no principal;De 1921 a 1940;1
28049 Coslada;Vivienda no principal;De 1941 a 1950;1
28049 Coslada;Vivienda no principal;De 1951 a 1960;15
28049 Coslada;Vivienda no principal;De 1961 a 1970;129
28049 Coslada;Vivienda no principal;De 1971 a 1980;537
28049 Coslada;Vivienda no principal;De 1981 a 1990;147
28049 Coslada;Vivienda no principal;De 1991 a 2000;284
28049 Coslada;Vivienda no principal;De 2001 a 2010;503
28049 Coslada;Vivienda no principal;De 2011 a 2020;65
28049 Coslada;Vivienda no principal;No consta;6
28058 Fuenlabrada;Total;Total;70.944
28058 Fuenlabrada;Total;Antes de 1900;1
28058 Fuenlabrada;Total;De 1900 a 1920;93
28058 Fuenlabrada;Total;De 1921 a 1940;49
28058 Fuenlabrada;Total;De 1941 a 1950;70
28058 Fuenlabrada;Total;De 1951 a 1960;92
28058 Fuenlabrada;Total;De 1961 a 1970;1.285
28058 Fuenlabrada;Total;De 1971 a 1980;33.793
28058 Fuenlabrada;Total;De 1981 a 1990;11.829
28058 Fuenlabrada;Total;De 1991 a 2000;16.085
28058 Fuenlabrada;Total;De 2001 a 2010;5.958
28058 Fuenlabrada;Total;De 2011 a 2020;1.482
28058 Fuenlabrada;Total;No consta;207
28058 Fuenlabrada;Vivienda principal;Total;67.078
28058 Fuenlabrada;Vivienda principal;Antes de 1900;0
28058 Fuenlabrada;Vivienda principal;De 1900 a 1920;69
28058 Fuenlabrada;Vivienda principal;De 1921 a 1940;29
28058 Fuenlabrada;Vivienda principal;De 1941 a 1950;42
28058 Fuenlabrada;Vivienda principal;De 1951 a 1960;72
28058 Fuenlabrada;Vivienda principal;De 1961 a 1970;1.168
28058 Fuenlabrada;Vivienda principal;De 1971 a 1980;32.422
28058 Fuenlabrada;Vivienda principal;De 1981 a 1990;11.367
28058 Fuenlabrada;Vivienda principal;De 1991 a 2000;15.252
28058 Fuenlabrada;Vivienda principal;De 2001 a 2010;5.318
28058 Fuenlabrada;Vivienda principal;De 2011 a 2020;1.282
28058 Fuenlabrada;Vivienda principal;No consta;57
28058 Fuenlabrada;Vivienda no principal;Total;3.866
28058 Fuenlabrada;Vivienda no principal;Antes de 1900;1
28058 Fuenlabrada;Vivienda no principal;De 1900 a 1920;24
28058 Fuenlabrada;Vivienda no principal;De 1921 a 1940;20
28058 Fuenlabrada;Vivienda no principal;De 1941 a 1950;28
28058 Fuenlabrada;Vivienda no principal;De 1951 a 1960;20
28058 Fuenlabrada;Vivienda no principal;De 1961 a 1970;117
28058 Fuenlabrada;Vivienda no principal;De 1971 a 1980;1.371
28058 Fuenlabrada;Vivienda no principal;De 1981 a 1990;462
28058 Fuenlabrada;Vivienda no principal;De 1991 a 2000;833
28058 Fuenlabrada;Vivienda no principal;De 2001 a 2010;640
28058 Fuenlabrada;Vivienda no principal;De 2011 a 2020;200
28058 Fuenlabrada;Vivienda no principal;No consta;150
28065 Getafe;Total;Total;79.835
28065 Getafe;Total;Antes de 1900;0
28065 Getafe;Total;De 1900 a 1920;34
28065 Getafe;Total;De 1921 a 1940;113
28065 Getafe;Total;De 1941 a 1950;130
28065 Getafe;Total;De 1951 a 1960;965
28065 Getafe;Total;De 1961 a 1970;18.310
28065 Getafe;Total;De 1971 a 1980;16.515
28065 Getafe;Total;De 1981 a 1990;7.513
28065 Getafe;Total;De 1991 a 2000;12.652
28065 Getafe;Total;De 2001 a 2010;11.111
28065 Getafe;Total;De 2011 a 2020;12.393
28065 Getafe;Total;No consta;99
28065 Getafe;Vivienda principal;Total;70.627
28065 Getafe;Vivienda principal;Antes de 1900;0
28065 Getafe;Vivienda principal;De 1900 a 1920;21
28065 Getafe;Vivienda principal;De 1921 a 1940;78
28065 Getafe;Vivienda principal;De 1941 a 1950;94
28065 Getafe;Vivienda principal;De 1951 a 1960;768
28065 Getafe;Vivienda principal;De 1961 a 1970;16.229
28065 Getafe;Vivienda principal;De 1971 a 1980;15.040
28065 Getafe;Vivienda principal;De 1981 a 1990;7.086
28065 Getafe;Vivienda principal;De 1991 a 2000;11.392
28065 Getafe;Vivienda principal;De 2001 a 2010;9.535
28065 Getafe;Vivienda principal;De 2011 a 2020;10.298
28065 Getafe;Vivienda principal;No consta;86
28065 Getafe;Vivienda no principal;Total;9.208
28065 Getafe;Vivienda no principal;Antes de 1900;0
28065 Getafe;Vivienda no principal;De 1900 a 1920;13
28065 Getafe;Vivienda no principal;De 1921 a 1940;35
28065 Getafe;Vivienda no principal;De 1941 a 1950;36
28065 Getafe;Vivienda no principal;De 1951 a 1960;197
28065 Getafe;Vivienda no principal;De 1961 a 1970;2.081
28065 Getafe;Vivienda no principal;De 1971 a 1980;1.475
28065 Getafe;Vivienda no principal;De 1981 a 1990;427
28065 Getafe;Vivienda no principal;De 1991 a 2000;1.260
28065 Getafe;Vivienda no principal;De 2001 a 2010;1.576
28065 Getafe;Vivienda no principal;De 2011 a 2020;2.095
28065 Getafe;Vivienda no principal;No consta;13
28074 Leganés;Total;Total;77.962
28074 Leganés;Total;Antes de 1900;0
28074 Leganés;Total;De 1900 a 1920;14
28074 Leganés;Total;De 1921 a 1940;9
28074 Leganés;Total;De 1941 a 1950;53
28074 Leganés;Total;De 1951 a 1960;380
28074 Leganés;Total;De 1961 a 1970;15.091
28074 Leganés;Total;De 1971 a 1980;30.948
28074 Leganés;Total;De 1981 a 1990;6.794
28074 Leganés;Total;De 1991 a 2000;9.341
28074 Leganés;Total;De 2001 a 2010;12.084
28074 Leganés;Total;De 2011 a 2020;2.983
28074 Leganés;Total;No consta;265
28074 Leganés;Vivienda principal;Total;72.285
28074 Leganés;Vivienda principal;Antes de 1900;0
