Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
03065 Elche/Elx;Vivienda principal;De 1961 a 1970;15.835
03065 Elche/Elx;Vivienda principal;De 1971 a 1980;19.089
03065 Elche/Elx;Vivienda principal;De 1981 a 1990;13.921
03065 Elche/Elx;Vivienda principal;De 1991 a 2000;11.562
03065 Elche/Elx;Vivienda principal;De 2001 a 2010;20.094
03065 Elche/Elx;Vivienda principal;De 2011 a 2020;1.705
03065 Elche/Elx;Vivienda principal;No consta;345
03065 Elche/Elx;Vivienda no principal;Total;27.582
03065 Elche/Elx;Vivienda no principal;Antes de 1900;105
03065 Elche/Elx;Vivienda no principal;De 1900 a 1920;998
03065 Elche/Elx;Vivienda no principal;De 1921 a 1940;1.015
03065 Elche/Elx;Vivienda no principal;De 1941 a 1950;767
03065 Elche/Elx;Vivienda no principal;De 1951 a 1960;1.413
03065 Elche/Elx;Vivienda no principal;De 1961 a 1970;3.896
03065 Elche/Elx;Vivienda no principal;De 1971 a 1980;4.280
03065 Elche/Elx;Vivienda no principal;De 1981 a 1990;4.142
03065 Elche/Elx;Vivienda no principal;De 1991 a 2000;3.991
03065 Elche/Elx;Vivienda no principal;De 2001 a 2010;5.465
03065 Elche/Elx;Vivienda no principal;De 2011 a 2020;1.435
03065 Elche/Elx;Vivienda no principal;No consta;75
03066 Elda;Total;Total;27.488
03066 Elda;Total;Antes de 1900;2
03066 Elda;Total;De 1900 a 1920;103
03066 Elda;Total;De 1921 a 1940;969
03066 Elda;Total;De 1941 a 1950;966
03066 Elda;Total;De 1951 a 1960;2.926
03066 Elda;Total;De 1961 a 1970;5.746
03066 Elda;Total;De 1971 a 1980;5.401
03066 Elda;Total;De 1981 a 1990;3.090
03066 Elda;Total;De 1991 a 2000;2.506
03066 Elda;Total;De 2001 a 2010;3.301
03066 Elda;Total;De 2011 a 2020;307
03066 Elda;Total;No consta;2.171
03066 Elda;Vivienda principal;Total;21.028
03066 Elda;Vivienda principal;Antes de 1900;0
03066 Elda;Vivienda principal;De 1900 a 1920;58
03066 Elda;Vivienda principal;De 1921 a 1940;493
03066 Elda;Vivienda principal;De 1941 a 1950;599
03066 Elda;Vivienda principal;De 1951 a 1960;1.986
03066 Elda;Vivienda principal;De 1961 a 1970;4.503
03066 Elda;Vivienda principal;De 1971 a 1980;4.543
03066 Elda;Vivienda principal;De 1981 a 1990;2.791
03066 Elda;Vivienda principal;De 1991 a 2000;2.295
03066 Elda;Vivienda principal;De 2001 a 2010;2.952
03066 Elda;Vivienda principal;De 2011 a 2020;216
03066 Elda;Vivienda principal;No consta;592
03066 Elda;Vivienda no principal;Total;6.460
03066 Elda;Vivienda no principal;Antes de 1900;2
03066 Elda;Vivienda no principal;De 1900 a 1920;45
03066 Elda;Vivienda no principal;De 1921 a 1940;476
03066 Elda;Vivienda no principal;De 1941 a 1950;367
03066 Elda;Vivienda no principal;De 1951 a 1960;940
03066 Elda;Vivienda no principal;De 1961 a 1970;1.243
03066 Elda;Vivienda no principal;De 1971 a 1980;858
03066 Elda;Vivienda no principal;De 1981 a 1990;299
03066 Elda;Vivienda no principal;De 1991 a 2000;211
03066 Elda;Vivienda no principal;De 2001 a 2010;349
03066 Elda;Vivienda no principal;De 2011 a 2020;91
03066 Elda;Vivienda no principal;No consta;1.579
03099 Orihuela;Total;Total;88.508
03099 Orihuela;Total;Antes de 1900;302
03099 Orihuela;Total;De 1900 a 1920;1.578
03099 Orihuela;Total;De 1921 a 1940;2.347
03099 Orihuela;Total;De 1941 a 1950;1.028
03099 Orihuela;Total;De 1951 a 1960;1.708
03099 Orihuela;Total;De 1961 a 1970;3.619
03099 Orihuela;Total;De 1971 a 1980;7.112
03099 Orihuela;Total;De 1981 a 1990;10.857
03099 Orihuela;Total;De 1991 a 2000;15.200
03099 Orihuela;Total;De 2001 a 2010;37.116
03099 Orihuela;Total;De 2011 a 2020;7.117
03099 Orihuela;Total;No consta;524
03099 Orihuela;Vivienda principal;Total;31.805
03099 Orihuela;Vivienda principal;Antes de 1900;101
03099 Orihuela;Vivienda principal;De 1900 a 1920;702
03099 Orihuela;Vivienda principal;De 1921 a 1940;1.274
03099 Orihuela;Vivienda principal;De 1941 a 1950;604
03099 Orihuela;Vivienda principal;De 1951 a 1960;1.047
03099 Orihuela;Vivienda principal;De 1961 a 1970;2.327
03099 Orihuela;Vivienda principal;De 1971 a 1980;3.532
03099 Orihuela;Vivienda principal;De 1981 a 1990;4.218
03099 Orihuela;Vivienda principal;De 1991 a 2000;5.579
